run_id,conv1_filters,conv2_filters,kernel_size,dropout,hidden_nodes,batch_size,epochs,lr,parameters,train_loss,train_accuracy,test_loss,test_accuracy,test_error,train_seconds,seconds_per_epoch
31,16,48,7,0.65,24,64,2,0.01,95202,0.4854009599685669,0.856125,0.29875191497802733,0.92,0.07999999999999996,29.793288799999573,14.896644399999786
32,16,48,7,0.0,24,256,2,0.01,95202,1.8165689573287964,0.481625,1.4199104614257811,0.587,0.41300000000000003,17.892542599998706,8.946271299999353
33,24,32,3,0.0,160,64,2,0.01,259834,0.44852003633975984,0.86175,0.3935405349731445,0.8855,0.11450000000000005,27.456282799998007,13.728141399999004
34,10,32,3,0.25,160,512,2,0.01,255662,2.192443744659424,0.375875,2.111949157714844,0.5215,0.47850000000000004,11.444906799995806,5.722453399997903
35,24,12,3,0.65,160,256,2,0.01,98694,2.2798061695098877,0.17575,2.2651665649414063,0.3615,0.6385000000000001,11.781501199999184,5.890750599999592
36,10,48,7,0.5,160,256,2,0.01,402158,2.0791209001541135,0.44,1.7399166259765626,0.629,0.371,17.39232970000012,8.69616485000006
37,24,20,3,0.0,50,128,2,0.01,54140,0.9589170508384705,0.76375,0.5203683242797852,0.8585,0.14149999999999996,15.824981499994465,7.912490749997232
38,10,20,3,0.65,50,256,2,0.01,51480,2.0739463624954224,0.358125,1.78885791015625,0.606,0.394,10.3745557000002,5.1872778500001
39,16,12,3,0.65,100,256,2,0.01,61810,2.1872399101257325,0.2695,2.0370018615722656,0.597,0.403,9.851008699995873,4.9255043499979365
40,10,12,5,0.65,160,512,2,0.01,99122,2.2820838012695313,0.13125,2.267597900390625,0.23,0.77,7.314436300002853,3.6572181500014267
41,24,12,5,0.65,24,128,2,0.01,22222,1.369384804725647,0.59025,0.7280253448486328,0.786,0.21399999999999997,4.200885600002948,2.100442800001474
42,6,20,5,0.25,24,256,2,0.01,26970,2.2258764209747315,0.255875,2.143854766845703,0.385,0.615,4.130812900002638,2.065406450001319
43,6,12,3,0.25,24,256,2,0.01,15106,2.239660520553589,0.279375,2.18543701171875,0.391,0.609,6.215894299995853,3.1079471499979263
44,6,12,3,0.65,50,256,2,0.01,30680,2.2684464416503904,0.189,2.2360596313476564,0.263,0.737,10.46400359999825,5.232001799999125
45,16,32,5,0.0,24,512,2,0.01,51154,2.146163740158081,0.279625,2.0516837158203125,0.3555,0.6445000000000001,14.184336600003007,7.092168300001504
46,24,48,5,0.5,24,128,2,0.01,86194,0.7741952891349793,0.779875,0.5699452362060546,0.818,0.18200000000000005,18.704507599999488,9.352253799999744
47,6,32,7,0.5,160,128,2,0.01,262390,1.9115940446853639,0.551375,1.0233385620117188,0.7475,0.25249999999999995,15.643706700000621,7.8218533500003105
48,6,20,7,0.5,50,64,2,0.01,55760,0.5347222511768341,0.836125,0.3152684478759766,0.899,0.10099999999999998,22.27598140000191,11.137990700000955
49,16,12,7,0.5,100,128,2,0.01,70130,1.1090128531455994,0.695625,0.581917495727539,0.827,0.17300000000000004,15.892082099999243,7.9460410499996215
50,16,20,7,0.5,50,128,2,0.01,66060,1.7498474082946778,0.500625,0.8570872192382812,0.79,0.20999999999999996,17.754442699995707,8.877221349997853
